isDGA,length,digits,entropy,vowel-cons,firstDigitIndex,ngrams
dga,15,0,3.3735572622751855,0.36363636363636365,0,1045.3884004884005
dga,15,0,3.506890595608519,0.25,0,798.4747252747252
dga,12,0,3.2516291673878226,0.2,0,810.9853535353536
dga,12,0,2.688721875540867,0.5,0,1218.7257575757574
dga,7,0,2.807354922057604,0.16666666666666666,0,492.23015873015873
dga,14,0,3.378783493486176,0.16666666666666666,0,1161.3937728937728
dga,15,0,3.5068905956085192,0.36363636363636365,0,934.9990231990231
dga,25,7,3.973660689688185,0.0,1,647.5144444444444
dga,27,6,4.254525464966177,0.23529411764705882,7,648.0746248812916
dga,15,0,3.3735572622751855,0.5,0,1223.0395604395605
dga,27,10,4.014146761422729,0.3076923076923077,5,674.8417853751188
dga,14,0,3.182005814760214,0.07692307692307693,0,674.9307081807082
dga,12,0,3.4182958340544896,0.3333333333333333,0,933.8323232323233
dga,13,0,3.5465935642949384,0.4444444444444444,0,1218.5759518259517
dga,25,0,3.813660689688185,0.25,0,978.1872705314009
dga,25,6,4.403856189774723,0.1875,3,655.6450483091787
dga,26,8,4.026986833359286,0.38461538461538464,7,805.3154273504273
dga,12,0,3.418295834054489,0.3333333333333333,0,873.8439393939393
dga,9,0,2.94770277922009,0.2857142857142857,0,1014.4398148148148
dga,15,0,3.323231428797621,0.36363636363636365,0,1084.6684981684982
dga,12,0,3.2516291673878226,0.2,0,711.4808080808081
dga,12,0,3.418295834054489,0.5,0,977.1151515151515
dga,13,0,3.3927474104487847,0.3,0,820.5277777777778
dga,26,6,4.132944044980958,0.6666666666666666,2,763.6247008547008
dga,23,2,4.088779347361362,0.3125,13,1010.9196938327374
dga,15,0,3.106890595608518,0.6666666666666666,0,1111.4297924297923
dga,26,10,3.931208948910322,0.23076923076923078,7,393.12205128205125
dga,26,11,3.9210296217376146,0.07142857142857142,3,507.85897435897436
dga,14,0,3.378783493486176,0.5555555555555556,0,1228.7689255189255
dga,26,9,3.917188642118003,0.0625,1,490.63589743589745
dga,12,0,3.418295834054489,0.3333333333333333,0,1289.2949494949496
dga,26,11,4.18083298720544,0.36363636363636365,5,610.9216666666667
dga,25,11,4.243856189774723,0.4,3,665.7438888888889
dga,12,0,3.2516291673878226,0.5,0,1270.2025252525252
dga,12,0,2.9182958340544896,0.3333333333333333,0,688.5515151515151
dga,12,0,3.2516291673878226,0.5,0,1040.0540404040403
dga,14,0,3.3787834934861767,0.2727272727272727,0,893.185286935287
dga,27,11,4.3845171317931,0.3333333333333333,4,433.8698955365622
dga,26,6,4.161978179679553,0.25,1,570.4809829059828
dga,10,0,2.6464393446710153,0.42857142857142855,0,1758.3842592592591
dga,25,6,4.243856189774723,0.1875,2,599.5971256038647
dga,15,0,3.3735572622751855,0.25,0,883.0166056166055
dga,12,0,3.188721875540867,0.2,0,713.7590909090909
dga,24,0,4.084962500721157,0.09090909090909091,0,936.669521299956
dga,26,8,4.23890125660263,0.38461538461538464,1,666.1072649572649
dga,26,9,3.9021748142117274,0.3076923076923077,1,789.009829059829
dga,10,0,2.7219280948873625,0.42857142857142855,0,1309.0657407407407
dga,26,10,4.05602096805788,0.06666666666666667,1,499.72205128205127
dga,25,7,4.163856189774723,0.2,1,544.1671014492753
dga,26,9,4.2098671219040344,0.21428571428571427,2,408.22512820512816
dga,14,0,2.610577243331642,0.16666666666666666,0,847.9285714285714
dga,14,0,3.182005814760214,0.2727272727272727,0,762.2875457875457
